division,name,category,subfield,location,contact,sns,description
중앙동아리,AMiCoM,과학기술분과,코딩,구학생회관 334호,010-9518-9210,,"“주요활동 
코딩, 스터디, 프로젝트, 깜짝모임 등”"
중앙동아리,ATOM,과학기술분과,로봇,신학생회관 405호,010-7475-4563,,"“주요활동
아두이노,라즈베리파이,.STM32보드, PCB와 다양한 전자소자, 드론제작,RC카,C언어 기초, 개인 프로젝트 지원 등”"
중앙동아리,C.OB.E,과학기술분과,천체관측,구학생회관 205호,010-9214-3673,,"“주요활동
- 매주 천체관측 관련 이론 세미나
- 한강 천체관측 자원봉사활동
- 맑은 날 번개관측(비정기적)”"
중앙동아리,Do-iT!,과학기술분과,IT 네트워킹,구학생회관 234호,010-2533-7519,@ajou_doit,"“주요활동
웹(html, css, js, react) 기초 스터디, 웹/앱(nodeJS, Flutter) 스터디, IT 네트워킹 데이, OBYB, 외부 강사 초청 컨퍼런스”"
중앙동아리,유레카,과학기술분과,발명,신학생회관 402호,010-5475-7104,,"“주요활동
주 1회 브레인스토밍(BS)를 통한 아이디어 도출을 유도하여 주요 공모전들에 참여, 후에 부원들이 창업을 할 때 도움이 되는 아이디어를 만드는데 도움을 주는 등 부원들의 개별적인 사고 능력을 증진해주고 이어 생각한 내용을 현실화하도록 3D 프린터, 메이커스페이스, 아두이노 등 다양한 방법을 사용하도록 환경을 제공해줍니다.”"
중앙동아리,A-PIN,레저스포츠분과,볼링,구학생회관 220호,010-7483-0602,@apin_ajou,"“주요활동
시험 기간을 제외한 매주 금요일 6시에 정원볼링장에서 상품이 걸려있는 정기전을 진행한다. 또 정기전 외에 번개활동, 볼링강습도 진행하며 초심자들도 쉽게 입문하도록 활동을 진행한다. 그리고 매학기마다 동아리 MT를 가며 구성원들과의 친목을 도모한다. 그 외 타학교와의 교류전, 졸업하는 선배님들과의 OBYB활동등도 진행하고있다.”"
중앙동아리,Drop-In,레저스포츠분과,스노우보드,구학생회관 235호,010-8480-0332,@drop_in_ajou,"“주요활동 
겨울엔 스노우보드
여름엔 웨이크보드, 스케이트보드 
그리고 다른 대학의 연합동아리와 교류, 연합MT까지”"
중앙동아리,ROA,레저스포츠분과,자전거,구학생회관 209호,010-7278-4491,,"“주요활동
- 매월 정규 라이딩
- 상시 번개 라이딩
- 졸업생 참여 라이딩
- 자전거 장거리 여행”"
중앙동아리,돌벗,레저스포츠분과,바둑,구학생회관 219호,010-5460-1724,@ajou_dolfriend,"“주요활동
프로기사 다면기(정기 모임), 창립제(년 1회), OBYB 엠티(년 1회), 바둑 대회 참가”"
중앙동아리,산악부,레저스포츠분과,등산 및 클라이밍,구학생회관 221호,010-4372-5130,@ajou_san_ak,"“주요활동
주 활동은 실내 볼더링 과 스포츠 외벽 클라이밍 자연암벽오르기 등이 있으며 대학산악연맹에서도 등산아카데미에 참여하고 있습니다.”"
중앙동아리,유스호스텔,레저스포츠분과,여행,구학생회관 319호,010-7535-3681,@ajou_youthhostel,"“주요활동 
- 매달 호스텔링 여행 
- 매주 집회 및 뒤풀이 
- 기타 (MT, 체육대회, 주점 등)“"
중앙동아리,혜윰,레저스포츠분과,보드게임,구학생회관 311호,010-9162-3093,@ajou.hyeum,"“주요활동
정기적으로 보드게임 모임, 비정기적으로 동아리 내부 보드게임 대회를 진행하고 있습니다.”"
중앙동아리,PTPI,사회활동분과,봉사,구학생회관 309호,010-7320-3586,@ajouptpi,"“주요활동
주요 봉사활동으로는 우만2동 복지센터 협업봉사, 사랑의 장기 기증 캠페인, 집수리 및 도배 봉사, 유기견 봉사 등의 활동을 합니다. 또한, 창립제 및 체육대회, MT, 축제 부스 운영, 정기적인 모임 등을 통해 친목도모 활동도 활발히 하고 있습니다.”"
중앙동아리,Sweat,사회활동분과,코딩 교육 봉사,신학생회관 229호,010-6429-0056,@ajou.sweat,"“동아리 설명
소프트웨어, 맛있게 가르치자!  SWeat(SoftWare Education And Tutoring)은 아주대학교 코딩교육 봉사 동아리로 소프트웨어 기초 교육 지도 경험의 확산 및 컴퓨터 사고력 증진과 청소년들에게 코딩을 접할 수 있는 기회를 주기 위해서 설립되었습니다. 2017년도부터 매년 학기 중에 수원시 내의 초/중/고등학교에 지속적으로 교육을 나가고 있습니다. 방학 중에는 주니어/시니어에게 맞는 소프트웨어 기초 교육을 진행하며, 주니어에게는 컴퓨터 프로그램 없이 컴퓨터 사고력과 문제 해결 능력을 증진시킬 수 있는 교육 활동을 진행합니다. 시니어에게는 스마트폰의 기본적인 사용 방법 및 활용 방법을 설명하는 활동을 진행하고 있습니다. 또한 지역 아동센터, 공공 도서관 등을 방문해서 청소년을 대상으 로 단기 교육 프로그램을 진행하고 있습니다. 더불어 방학 중에는 외부 학생들을 초청해 소프트웨 어 및 프로그래밍에 흥미를 가질 수 있도록 SW 단기 캠프 수업을 진행합니다.  코딩 교육에 관심이 있다면 누구나 환영합니다!”"
중앙동아리,늘사랑,사회활동분과,봉사,구학생회관 310호,010-6520-5465,,"""주요활동 
보육원봉사, 십시일밥, 친목활동”"
중앙동아리,미유미유,사회활동분과,봉사,신학생회관 406호,010-4074-7705,@ajou.meyoumeow,"“주요활동 
동아리 주요 활동으로 교내 고양이 급식 봉사를 진행하며, 활동한 만큼 1365 봉사 시간을 인정해 드립니다. 또한 교내 고양이 구조 및 치료, 정기적 TNR(중성화 수술) 실시, 급식소 소독 및 정비, 겨울집 제작 및 설치 등의 활동을 함께 진행하고 있습니다. 자세한 내용은 홈페이지를 참고해 주세요!”"
